level,state,source_name,source_type,url,registration_required,alert_available,notes,status
Federal,US,SAM.gov Contract Opportunities,Opportunity portal,https://sam.gov/content/opportunities,No for search; yes for saved searches/account features,Yes,Use saved searches for NAICS 611430/541611/541612/541618 and PSC U008. Use APIs/official alerts rather than scraping.,Not started
Federal,US,SAM.gov Get Opportunities API,API,https://open.gsa.gov/api/get-opportunities-public-api/,API key may be required depending on endpoint/use,No direct email,Useful later if manual alert volume proves automation is worth it.,Backlog
Federal,US,GSA eBuy,Schedule/RFQ portal,https://www.ebuy.gsa.gov/,Yes,Yes if schedule holder,Relevant only if friend gets onto a GSA Schedule or partners with a schedule holder.,Backlog
Federal,US,GSA Multiple Award Schedule,Vendor program,https://www.gsa.gov/buy-through-us/purchasing-programs/multiple-award-schedule,Yes,N/A,Longer-term channel for recurring training/consulting sales.,Backlog
State,TX,Texas Electronic State Business Daily,Opportunity portal,https://www.txsmartbuy.gov/esbd,No for search; yes for vendor features,Manual/saved search depending account setup,Primary Texas state opportunity search.,Not started
State,TX,Texas Statewide Procurement Division,Procurement info,https://comptroller.texas.gov/purchasing/,Yes for vendor setup,N/A,Start here for Texas vendor registration and procurement guidance.,Not started
State,TX,Texas Centralized Master Bidders List,HUB/CMBL vendor list,https://comptroller.texas.gov/purchasing/vendor/cmbl/,Yes,Yes,Important for Texas state buyer visibility and bid notifications.,Not started
State,TX,Texas HUB Program,Supplier diversity,https://comptroller.texas.gov/purchasing/vendor/hub/,If eligible,N/A,Check whether friend qualifies through business ownership/status.,Backlog
State,TX,Texas DIR Schedule of Solicitation Opportunities,Opportunity schedule,https://dir.texas.gov/it-solutions-and-services/selling-through-dir/schedule-of-solicitation-opportunities,No for browsing; ESBD/vendor setup for response,No,Public DIR schedule for planned pre-solicitation and active technology-related statewide procurements.,Not started
State,FL,MyFloridaMarketPlace Vendor Information Portal,Vendor portal,https://vendor.myfloridamarketplace.com/,Yes,Yes,Primary Florida state vendor setup and notifications.,Not started
State,FL,Florida State Purchasing / MFMP,Procurement info,https://www.dms.myflorida.com/business_operations/state_purchasing/myfloridamarketplace,Yes,Yes,State procurement overview and MFMP guidance.,Not started
State,TN,Tennessee Central Procurement Office Supplier Info,Procurement info,https://www.tn.gov/generalservices/procurement/central-procurement-office--cpo-/supplier-information.html,Yes for award/notifications,Yes,Register through Edison; choose relevant UNSPSC/category codes.,Not started
State,TN,Tennessee RFP Opportunities,Opportunity page,https://www.tn.gov/generalservices/procurement/central-procurement-office--cpo-/supplier-information/request-for-proposals--rfp--opportunities1.html,No for browsing,No/Manual,Professional-service procurements are posted here.,Not started
State,TN,Tennessee ITB Opportunities,Opportunity page,https://www.tn.gov/generalservices/procurement/central-procurement-office--cpo-/supplier-information/invitations-to-bid--itb-.html,No for browsing,No/Manual,Less likely for leadership training than RFP page but still worth monitoring.,Not started
State,NC,North Carolina eVP Solicitations,Opportunity portal,https://evp.nc.gov/solicitations/,No for search; yes for vendor features,Yes,Strong source because many agencies/local governments/schools appear here.,Not started
State,NC,NC eProcurement,Vendor/procurement portal,https://eprocurement.nc.gov/,Yes,Yes,Register for notifications and statewide procurement visibility.,Not started
State,GA,Georgia DOAS Bids and Contracts,Procurement info,https://doas.ga.gov/state-purchasing/bids-and-contracts,Yes for supplier notices,Yes,Georgia Procurement Registry posts state/local opportunities.,Not started
State,GA,Georgia Procurement Registry,Opportunity registry,https://ssl.doas.state.ga.us/PRSapp/PR_index.jsp,No for public search; yes for notifications/submission,Yes,Primary Georgia state/local bid registry.,Not started
State,CO,Colorado Vendor Self Service,Opportunity portal,https://vss.state.co.us/,No for browsing; yes for notifications,Yes,Official ColoradoVSS vendor portal for many state agencies and higher education solicitations.,Not started
State,CO,Colorado VSS Published Solicitations,Opportunity portal,https://prd.co.cgiadvantage.com/PRDVSS1X1/Advantage4,No for browsing; yes for vendor account,Yes,State of Colorado Advantage VSS application where published solicitations are listed.,Not started
State,CO,Colorado State Purchasing and Contracts,Procurement info,https://www.colorado.gov/osc/purchasing,Yes for vendor setup,Varies,State purchasing guidance and vendor setup reference for Colorado opportunities.,Not started
State,CO,Colorado BIDS Price Agreements,Contract database,https://www.bidscolorado.com/,No,No,Legacy State Price Agreement site; new solicitations point to ColoradoVSS.,Backlog
State,CO,Colorado Department of Human Services Procurement,Agency procurement,https://cdhs.colorado.gov/procurement,Use ColoradoVSS,Varies,Human services agency with leadership training and organizational development fit.,Not started
State,CO,Colorado Department of Transportation Bidding,Agency procurement,https://www.codot.gov/business/bidding/future-bidding-opportunities,Yes for bid systems,Varies,Transportation agency source; mostly construction but useful for workforce and safety training monitoring.,Backlog
Local,CO,City and County of Denver Bidding Opportunities,City/county procurement,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/General-Services/Purchasing-Division/Bidding-Opportunities,Yes,Yes,High-priority Colorado municipal buyer using Rocky Mountain E-Purchasing/BidNet.,Not started
Local,CO,Denver Public Schools Purchasing,School district procurement,https://www.dpsk12.org/o/financialservices/page/purchasing,Yes,Varies,Large school district buyer for leadership and professional development services.,Not started
Local,CO,City of Colorado Springs Procurement,City procurement,https://coloradosprings.gov/procurement-services,Yes,Varies,Large Front Range city with public safety and supervisor training potential.,Not started
Local,CO,City of Aurora Purchasing,City procurement,https://www.auroragov.org/business_services/doing_business_with_the_city,Yes,Varies,Large Denver-area municipality with workforce and public-facing training fit.,Not started
Local,CO,City of Fort Collins Purchasing,City procurement,https://www.fcgov.com/purchasing/,Yes,Varies,Northern Colorado city buyer with professional services opportunities.,Not started
Local,CO,Boulder County Purchasing,County procurement,https://bouldercounty.gov/government/bids-and-purchasing/,Yes,Varies,High-revenue county buyer with organizational development potential.,Not started
Local,CO,Douglas County Purchasing,County procurement,https://www.bidnetdirect.com/colorado/douglas-county-government,Yes,Varies,Affluent county buyer in the Denver metro area.,Not started
Local,CO,Arapahoe County Purchasing,County procurement,https://www.arapahoeco.gov/your_county/county_departments/finance/purchasing.php,Yes,Varies,Large Denver-area county buyer for training and facilitation services.,Not started
Adjacent,CO,Denver International Airport Business Opportunities,Airport procurement,https://www.flydenver.com/business-and-community/business-opportunities/,Yes,Varies,Large airport enterprise buyer with operations leadership and customer service training fit.,Not started
Adjacent,CO,RTD Procurement and Contracting,Transit procurement,https://www.rtd-denver.com/doing-business-with-rtd/procurement-resources,Yes,Varies,Regional transit buyer with supervisor safety and public-facing workforce training fit.,Not started
Education,CO,University of Colorado Procurement Service Center,Higher ed procurement,https://www.cu.edu/psc/doing-business-cu/participate-bid,Yes,Yes,CU now posts new solicitation opportunities through Rocky Mountain E-Purchasing/BidNet.,Not started
Education,CO,Colorado State University Procurement Services,Higher ed procurement,https://procurement.colostate.edu/,Yes,Varies,Large university buyer with staff development and leadership training potential.,Not started
Local,FL,Miami-Dade County Procurement,County procurement,https://www.miamidade.gov/apps/isd/StratProc/Home/CurrentSolicitations,Yes,Yes,Large county buyer with workforce and leadership development potential.,Wired
Local,FL,Broward County Purchasing,County procurement,https://www.broward.org/Purchasing/Pages/Default.aspx,Yes,Yes,High-revenue county buyer in South Florida.,Not started
Local,FL,Palm Beach County Purchasing,County procurement,https://discover.pbcgov.org/purchasing/Pages/default.aspx,Yes,Yes,Affluent county buyer with professional services demand.,Not started
Local,FL,Orange County Florida OrangeBids,County procurement,https://procurement.opengov.com/portal/orangecountyfl,No for browsing; yes for plan holder features,Varies,Public current bid openings page for Orange County Florida.,Wired
Local,FL,Hillsborough County Procurement,County procurement,https://www.demandstar.com/app/agencies/florida/hillsborough-county-bocc/procurement-opportunities/f99704d5-ff5e-4cee-84da-d74d8a525324/,Yes,Yes,Tampa-area county buyer with professional services opportunities.,Wired
Local,FL,City of Tampa Purchasing,City procurement,https://www.tampa.gov/purchasing,Yes,Varies,Large city buyer and public-facing workforce training prospect.,Not started
Local,FL,City of Orlando Procurement and Contracts,City procurement,https://procurement.opengov.com/portal/orlando,Yes,Varies,Tourism-heavy city with customer service and leadership training fit.,Wired
Education,FL,University of Florida Procurement Bid Schedule,Higher ed procurement,https://procurement.ufl.edu/vendors/schedule-of-bids/,No for browsing,Varies,Large university system buyer with leadership and staff development opportunities.,Not started
Local,TN,Metro Nashville Procurement,City/county procurement,https://www.nashville.gov/departments/finance/procurement,Yes,Varies,Major consolidated local government buyer in Tennessee.,Not started
Local,TN,Shelby County Purchasing,County procurement,https://www.shelbycountytn.gov/3243/Bids-Listing,Yes,Varies,Large county buyer in Memphis region with training potential.,Not started
Local,TN,City of Memphis Purchasing,City procurement,https://www.memphistn.gov/government/finance/purchasing/,Yes,Varies,Large city buyer with workforce and leadership development fit.,Not started
Education,TN,Tennessee Board of Regents Procurement Opportunities,Higher ed procurement,https://www.tbr.edu/purchasing/upcoming-procurement-opportunities,No for browsing,Varies,System-level higher education procurement opportunity page.,Not started
Local,NC,City of Raleigh Current Bidding Opportunities,City procurement,https://raleighnc.gov/doing-business/services/procurement/current-bidding-and-contracting-opportunities,Uses eVP for many postings,Yes,Major North Carolina city source tied to eVP notifications.,Not started
Local,NC,Wake County Procurement Services,County procurement,https://www.wake.gov/departments-government/finance/procurement-services,Yes,Varies,High-growth county buyer with professional services demand.,Not started
Local,NC,Mecklenburg County Vendor Opportunities,County procurement,https://www.mecknc.gov/Finance/Procurement/Pages/Home.aspx,Yes,Varies,Charlotte-area county buyer with staff training and facilitation potential.,Not started
Local,NC,City of Charlotte Procurement,City procurement,https://charlottenc.bonfirehub.com/portal/?tab=openOpportunities,Yes,Varies,Large city buyer; registration and solicitation notices relevant to training vendors.,Wired
Education,NC,UNC System Procurement,Higher ed procurement,https://www.northcarolina.edu/offices-and-services/finance-and-administration/procurement/,Yes,Varies,Statewide university system buyer and procurement reference point.,Not started
Local,GA,Fulton County Bid Opportunities,County procurement,https://www.fultoncountyga.gov/inside-fulton-county/fulton-county-departments/purchasing-and-contract-compliance/bid-opportunities,Yes,Yes,Atlanta-region county buyer using Georgia Purchasing Group/BidNet.,Not started
Local,GA,City of Atlanta Procurement,City procurement,https://www.atlantaga.gov/government/departments/procurement,Yes,Varies,Large city buyer with leadership and workforce training needs.,Not started
Local,GA,Cobb County Purchasing,County procurement,https://procurement.opengov.com/portal/cobbcoga,Yes,Varies,Large Atlanta metro county buyer.,Wired
Local,GA,Gwinnett County Purchasing,County procurement,https://www.gwinnettcounty.com/government/departments/financial-services/purchasing/solicitations,Yes,Varies,Large affluent Atlanta metro county buyer.,Wired
Education,GA,University System of Georgia Procurement,Higher ed procurement,https://www.usg.edu/business_procedures_manual/section3/,Yes,Varies,State university procurement reference and higher education opportunity channel.,Backlog
Federal,US,Federal Procurement Data System,Award database,https://www.fpds.gov/,No,No,Use to research past awards and incumbent vendors for training and consulting contracts.,Backlog
Federal,US,USAspending.gov,Award database,https://www.usaspending.gov/,No,No,Use for federal award history by agency vendor NAICS and PSC.,Backlog
Federal,US,Acquisition.gov,FAR and acquisition policy,https://www.acquisition.gov/,No,No,Reference rules clauses and procurement language while reviewing federal opportunities.,Reference
Federal,US,GSA Forecast of Contracting Opportunities,Forecast portal,https://hallways.cap.gsa.gov/app/#/forecast-of-contracting-opportunities,No for browsing,No,Use to identify upcoming federal opportunities before they hit SAM.gov.,Backlog
Federal,US,Department of Homeland Security Vendor Resources,Agency procurement,https://www.dhs.gov/doing-business-dhs,Varies,Varies,Large workforce with leadership training and organizational development potential.,Backlog
Federal,US,Department of Veterans Affairs Vendor Portal,Agency procurement,https://www.va.gov/osdbu/,Varies,Varies,Large agency with training workforce and management development needs.,Backlog
Federal,US,Department of Defense Office of Small Business Programs,Agency procurement,https://business.defense.gov/,Varies,Varies,Useful for defense-adjacent training and small-business pathways.,Backlog
Federal,US,Department of Health and Human Services Contracts,Agency procurement,https://www.hhs.gov/grants/contracts/index.html,Varies,Varies,Large health and human services workforce with training needs.,Backlog
Federal,US,Department of Labor Contract Opportunities,Agency procurement,https://www.dol.gov/general/business-opportunities,Varies,Varies,Workforce development and management training alignment.,Backlog
Federal,US,Department of Transportation Procurement,Agency procurement,https://www.transportation.gov/procurement,Varies,Varies,Large distributed agency and grant-adjacent buyers.,Backlog
Federal,US,Small Business Administration Contracting Guide,Vendor guidance,https://www.sba.gov/federal-contracting,No,N/A,Use for small business setup and federal contracting process guidance.,Reference
State,TX,Texas Health and Human Services Commission Contracting,Agency procurement,https://www.hhs.texas.gov/business/contracting-hhs,Use CMBL/agency process,Varies,Large workforce and recurring training or consulting needs.,Not started
State,TX,Texas Department of Criminal Justice Business and Finance,Agency procurement,https://www.tdcj.texas.gov/divisions/bfd/index.html,Use CMBL/agency process,Varies,Public safety and corrections leadership training fit.,Not started
State,TX,Texas Department of Transportation Business,Agency procurement,https://www.txdot.gov/business.html,Use CMBL/agency process,Varies,Large distributed workforce and change management needs.,Not started
State,TX,Texas Workforce Commission Procurement,Agency procurement,https://www.twc.texas.gov/agency/procurement-opportunities,Use CMBL/agency process,Varies,Direct workforce development and training mission fit.,Not started
Local,TX,City of Austin Purchasing,City procurement,https://www.austintexas.gov/financeonline/vendor_connection/,Yes,Varies,High-priority city buyer for leadership training and strategic planning.,Not started
Local,TX,Travis County Purchasing,County procurement,https://www.traviscountytx.gov/purchasing,Yes,Varies,Austin-region county buyer with HR and public safety training potential.,Not started
Local,TX,City of Dallas Procurement Services,City procurement,https://dallascityhall.bonfirehub.com/portal/?tab=openOpportunities,Yes,Varies,Large city buyer with broad professional services needs.,Not started
Local,TX,Dallas County Purchasing,County procurement,https://www.dallascounty.org/departments/purchasing/,Yes,Varies,Large county buyer for supervisor HR and public safety training.,Not started
Local,TX,City of Fort Worth Purchasing,City procurement,https://www.fortworthtexas.gov/departments/finance/purchasing,Yes,Varies,Large growing city with leadership and supervisor training potential.,Not started
Local,TX,Tarrant County Purchasing,County procurement,https://www.tarrantcountytx.gov/en/purchasing.html,Yes,Varies,Large county buyer with public safety and management needs.,Not started
Local,TX,City of San Antonio Procurement,City procurement,https://www.sa.gov/Directory/Departments/Finance/About/Divisions/Procurement,Yes,Varies,Large city with major workforce and training programs.,Not started
Local,TX,Bexar County Purchasing,County procurement,https://www.bexar.org/581/Purchasing,Yes,Varies,Large county buyer for supervisor and public safety training.,Not started
Local,TX,City of Houston Procurement,City procurement,https://purchasing.houstontx.gov/,Yes,Varies,Largest Texas city with broad workforce and professional services needs.,Not started
Local,TX,Harris County Purchasing,County procurement,https://purchasing.harriscountytx.gov/,Yes,Varies,Large county buyer with HR public safety and training contract potential.,Not started
Local,TX,City of Plano Purchasing,City procurement,https://www.plano.gov/280/Purchasing,Yes,Varies,Affluent city government with professional development potential.,Not started
Local,TX,City of Frisco Purchasing,City procurement,https://www.friscotexas.gov/239/Purchasing,Yes,Varies,Fast-growth city with change management and supervisor training fit.,Not started
Local,TX,Collin County Purchasing,County procurement,https://www.collincountytx.gov/Purchasing,Yes,Varies,Fast-growing affluent county buyer.,Not started
Local,TX,City of Irving Purchasing,City procurement,https://cityofirving.ionwave.net/Login.aspx,Yes,Varies,Business-heavy city with management training fit.,Not started
Local,TX,City of Denton Purchasing,City procurement,https://www.cityofdenton.com/175/Purchasing,Yes,Varies,Growing city and university-adjacent buyer.,Not started
Local,TX,Denton County Purchasing,County procurement,https://www.dentoncounty.gov/1222/Purchasing,Yes,Varies,Fast-growing county with supervisor and public safety training potential.,Not started
Local,TX,City of Waco Purchasing,City procurement,https://www.waco-texas.com/Departments/Purchasing,Yes,Varies,Mid-sized city with lower-competition potential.,Not started
Local,TX,City of Midland Purchasing,City procurement,https://www.midlandtexas.gov/180/Purchasing,Yes,Varies,Energy-region city with possible budget capacity.,Not started
Local,TX,Midland County Purchasing,County procurement,https://www.co.midland.tx.us/183/Purchasing,Yes,Varies,Energy-region county with public safety training fit.,Not started
Local,TX,City of Odessa Purchasing,City procurement,https://www.odessa-tx.gov/263/Purchasing,Yes,Varies,Energy-region city with workforce and management needs.,Not started
Local,TX,Ector County Purchasing,County procurement,https://www.co.ector.tx.us/page/ector.Purchasing,Yes,Varies,Energy-region county buyer.,Not started
Local,TX,City of Sugar Land Purchasing,City procurement,https://www.sugarlandtx.gov/449/Purchasing,Yes,Varies,Affluent Houston-area city with strategic planning fit.,Not started
Local,TX,The Woodlands Township Bids,Local government procurement,https://www.thewoodlandstownship-tx.gov/Departments/Finance/Purchasing-Procurement/Bids,Yes,Varies,Affluent special local government often missed by city-only searches.,Not started
Local,TX,City of Round Rock Purchasing,City procurement,https://www.roundrocktexas.gov/city-departments/purchasing/,Yes,Varies,Fast-growing Austin-area city.,Not started
Local,TX,Williamson County Purchasing,County procurement,https://www.wilcotx.gov/434/Purchasing,Yes,Varies,Fast-growing Austin-area county.,Not started
Local,TX,City of Georgetown Purchasing,City procurement,https://www.georgetowntexas.gov/government/finance_and_purchasing/doing_business_with_the_city/bid_opportunities.php,Yes,Varies,Fast-growing city with management and professional development needs.,Not started
Local,TX,City of McKinney Purchasing,City procurement,https://www.mckinneytexas.org/601/Purchasing,Yes,Varies,Fast-growing North Texas city.,Not started
Local,TX,City of Allen Purchasing,City procurement,https://www.cityofallen.org/997/Purchasing,Yes,Varies,Affluent North Texas city.,Not started
Local,TX,City of Grapevine Purchasing,City procurement,https://www.grapevinetexas.gov/105/Purchasing,Yes,Varies,Tourism and airport-adjacent city with customer service training fit.,Not started
Local,TX,City of Addison Purchasing,City procurement,https://addisontexas.net/finance/purchasing,Yes,Varies,Small but business-heavy municipality worth watching by budget density.,Not started
Local,TX,City of Galveston Purchasing,City procurement,https://www.galvestontx.gov/103/Purchasing,Yes,Varies,Tourism coastal city with public-facing training potential.,Not started
Adjacent,TX,DFW Airport Solicitations,Airport procurement,https://www.dfwairport.com/business/solicitations/,Yes,Varies,High-value enterprise buyer for leadership operations and customer service training.,Not started
Adjacent,TX,Austin-Bergstrom Airport Business,Airport procurement,https://www.austintexas.gov/department/airport-business,Use City of Austin,Varies,Airport enterprise buyer usually through City of Austin.,Not started
Adjacent,TX,Houston Airport System Business,Airport procurement,https://www.fly2houston.com/business,Use City of Houston,Varies,Large airport system with operations and management training fit.,Not started
Adjacent,TX,San Antonio International Airport Business,Airport procurement,https://flysanantonio.com/business/,Use City of San Antonio,Varies,Airport enterprise buyer usually through San Antonio procurement.,Not started
Adjacent,TX,DART Procurement,Transit procurement,https://www.dart.org/about/procurement,Yes,Varies,Large transit workforce with supervisor safety and conflict training fit.,Not started
Adjacent,TX,CapMetro Procurement,Transit procurement,https://www.capmetro.org/procurement,Yes,Varies,Austin-area transit buyer with public-facing workforce needs.,Not started
Adjacent,TX,VIA Metropolitan Transit Procurement,Transit procurement,https://www.viainfo.net/business-center/procurement/,Yes,Varies,San Antonio transit buyer with leadership and customer service fit.,Not started
Adjacent,TX,Houston METRO Procurement,Transit procurement,https://www.ridemetro.org/about/procurement,Yes,Varies,Large transit workforce with supervisor and conflict training fit.,Not started
Adjacent,TX,North Texas Tollway Authority Procurement,Transportation authority,https://www.ntta.org/business/procurement,Yes,Varies,Regional transportation authority with professional staff training potential.,Not started
Education,TX,University of Texas System Supplier Information,Higher ed procurement,https://www.utsystem.edu/offices/contracts-and-procurement/supplier-resources,Yes,Varies,Large system buyer for leadership professional development and coaching.,Not started
Education,TX,Texas A&M University System Doing Business,Higher ed procurement,https://www.tamus.edu/business/doing-business-with-a-m-system/,Yes,Varies,Large system buyer for leadership and staff development.,Not started
Education,TX,University of Texas at Austin Purchasing,Higher ed procurement,https://purchasing.utexas.edu/,Yes,Varies,Large university buyer and potential partner channel.,Not started
Education,TX,Texas A&M University Purchasing,Higher ed procurement,https://purchasing.tamu.edu/,Yes,Varies,Large university buyer for supervisor and professional development.,Not started
Education,TX,University of Houston Purchasing,Higher ed procurement,https://www.uh.edu/office-of-finance/purchasing/,Yes,Varies,Large urban university system with staff training needs.,Not started
Education,TX,Texas Tech University System Procurement,Higher ed procurement,https://www.texastech.edu/offices/procurement/,Yes,Varies,Secondary Texas higher-ed target.,Not started
Education,TX,Austin ISD Purchasing,K-12 procurement,https://www.austinisd.org/cp,Yes,Varies,Large school district for administrator and professional development training.,Not started
Education,TX,Dallas ISD Procurement,K-12 procurement,https://www.dallasisd.org/procurement,Yes,Varies,Large school district with leadership and professional development needs.,Not started
Education,TX,Houston ISD Procurement,K-12 procurement,https://www.houstonisd.org/community-partnerships/purchasing-services,Yes,Varies,Large school district but complex buyer.,Not started
Education,TX,Fort Worth ISD Purchasing,K-12 procurement,https://www.fwisd.org/Page/260,Yes,Varies,Large school district for leadership and administrator training.,Not started
Education,TX,San Antonio ISD Purchasing,K-12 procurement,https://www.saisd.net/page/procurement-services,Yes,Varies,Large school district for professional development.,Not started
Education,TX,Alamo Colleges Purchasing,Community college procurement,https://www.alamo.edu/about-us/offices-departments/departments/purchasing/,Yes,Varies,Training-aligned community college district.,Not started
Education,TX,Dallas College Supplier Information,Community college procurement,https://www.dallascollege.edu/about/business-industry/pages/supplier.aspx,Yes,Varies,Training-aligned college system and workforce partner.,Not started
Education,TX,Austin Community College Purchasing,Community college procurement,https://www.austincc.edu/offices/purchasing,Yes,Varies,Training-aligned community college district.,Not started
Education,TX,Lone Star College Purchasing,Community college procurement,https://www.lonestar.edu/purchasing.htm,Yes,Varies,Large Houston-area community college system.,Not started
Adjacent,TX,North Central Texas Council of Governments Purchasing,Regional council procurement,https://www.nctcog.org/agency-administration/purchasing,Yes,Varies,Regional council and cooperative programs can surface multi-agency needs.,Not started
Adjacent,TX,Capital Area Council of Governments Procurement,Regional council procurement,https://www.capcog.org/about/do-business-with-us/,Yes,Varies,Regional public safety and planning training potential.,Not started
Adjacent,TX,Houston-Galveston Area Council Procurement,Regional council procurement,https://www.h-gac.com/procurement,Yes,Varies,Large regional council and cooperative purchasing channel.,Not started
Adjacent,TX,HGACBuy Cooperative Bid/RFP Notices,Cooperative procurement portal,https://hgacbuy.org/bid-notices,No for browsing; account for electronic submission,Yes,Public HGACBuy OpenGov opportunity listing for nationwide cooperative contracts.,Not started
Adjacent,TX,San Antonio River Authority Business Opportunities,Special district procurement,https://www.sariverauthority.org/about/contracting/,Yes,Varies,Special district with professional staff and public engagement needs.,Not started
Adjacent,TX,Lower Colorado River Authority Business,Public utility procurement,https://www.lcra.org/business-with-lcra/,Yes,Varies,Large authority with safety leadership and supervisor training potential.,Not started
Adjacent,TX,CPS Energy Procurement and Suppliers,Public utility procurement,https://www.cpsenergy.com/en/about-us/procurement-and-suppliers.html,Yes,Varies,Municipally owned utility with workforce training fit.,Not started
Adjacent,TX,Austin Energy Vendor Information,Public utility procurement,https://austinenergy.com/about/company-profile/vendor-information,Use City of Austin,Varies,Public utility buyer usually tied to Austin vendor setup.,Not started
Adjacent,TX,San Antonio Water System Purchasing,Public utility procurement,https://www.saws.org/business-center/purchasing/,Yes,Varies,Public water utility with leadership safety and supervisor training fit.,Not started
Adjacent,TX,North Texas Municipal Water District Business Opportunities,Public utility procurement,https://www.ntmwd.com/business-opportunities/,Yes,Varies,Regional utility district and overlooked special-purpose buyer.,Not started
Adjacent,TX,Port Houston Procurement,Port authority procurement,https://porthouston.com/procurement/,Yes,Varies,High-value enterprise buyer with operations and safety leadership needs.,Not started
Adjacent,TX,TIPS-USA Cooperative Bid Opportunities,Cooperative procurement portal,https://tips.ionwave.net/SourcingEvents.aspx?SourceType=1,No for browsing; account for electronic submission,Yes,Public IonWave bid table for TIPS cooperative solicitations.,Not started
Adjacent,TX,BuyBoard Current Proposal Invitations,Cooperative procurement portal,https://www.buyboard.com/vendor/proposal-invitations,No for browsing and forms; account for electronic submission,Yes,Public proposal invitations and downloadable proposal packets for BuyBoard cooperative contracts.,Not started
Adjacent,TX,Goodbuy Purchasing Cooperative Bid Opportunities,Cooperative procurement portal,https://goodbuy.ionwave.net/SourcingEvents.aspx?SourceType=1,No for browsing; account for electronic submission,Yes,Public IonWave bid table for Goodbuy cooperative solicitations.,Not started
Adjacent,TX,Choice Partners Current RFPs,Cooperative procurement portal,https://www.choicepartners.org/current-rfps,No for browsing; account for electronic submission,Yes,Public Choice Partners current RFP page from Harris County Department of Education.,Not started
Adjacent,TX,Choice Partners Upcoming Contracts,Cooperative procurement schedule,https://www.choicepartners.org/upcoming-contracts,No,No,Public upcoming cooperative contract schedule for planning future bids.,Not started
Adjacent,US,Sourcewell Open Solicitations,Cooperative procurement portal,https://www.sourcewell-mn.gov/solicitations,No for browsing; portal account for electronic submission,Yes,Public national cooperative solicitation list with due dates and solicitation detail pages.,Not started
Adjacent,US,NASPO ValuePoint Current Solicitations,Cooperative procurement portal,https://naspovaluepoint.org/solicitation-status/,No for browsing; varies by lead state portal,Yes,Public NASPO ValuePoint current solicitation status page with lead-state links.,Not started
Adjacent,US,OMNIA Partners Current Solicitations,Cooperative procurement portal,https://www.omniapartners.com/get-started/solicitations,No for browsing; varies by lead agency portal,Yes,Public national cooperative solicitations with lead agency links and addenda.,Not started
Adjacent,US,Equalis Group Current Solicitations,Cooperative procurement portal,https://equalisgroup.org/current-solicitations/,No for browsing; varies by lead agency portal,Varies,Public national cooperative lead-agency solicitation page.,Not started
