priority,buyer_name,buyer_type,region_or_county,procurement_url,vendor_registration_url,why_watch,likely_training_fit,search_terms,status,notes
1,State of Texas - Comptroller Statewide Procurement Division,State procurement,Statewide,https://comptroller.texas.gov/purchasing/,https://comptroller.texas.gov/purchasing/vendor/,Central procurement hub and vendor registration path,State buyer visibility and CMBL notifications,leadership training; management training; professional development,Not started,Register and configure CMBL/HUB if applicable
1,Texas Health and Human Services Commission,State agency,Statewide,https://www.hhs.texas.gov/business/contracting-hhs,https://comptroller.texas.gov/purchasing/vendor/,Large workforce and recurring training/consulting needs,Supervisor training; workforce development; change management,leadership; supervisor; workforce; organizational development,Not started,Monitor ESBD agency postings
1,Texas Department of Criminal Justice,State agency,Statewide,https://www.tdcj.texas.gov/divisions/bfd/index.html,https://comptroller.texas.gov/purchasing/vendor/,Large public safety/corrections workforce,Corrections leadership; supervisor training; conflict resolution,leadership; corrections; supervisor; conflict resolution,Not started,Public safety leadership could be strong fit
1,Texas Department of Transportation,State agency,Statewide,https://www.txdot.gov/business.html,https://comptroller.texas.gov/purchasing/vendor/,Large distributed workforce and leadership needs,Management training; change management; strategic planning,leadership; management training; change management,Not started,Monitor TxDOT procurement and ESBD
1,Texas Workforce Commission,State agency,Statewide,https://www.twc.texas.gov/agency/procurement-contracting,https://comptroller.texas.gov/purchasing/vendor/,Workforce and training mission alignment,Workforce development; leadership training; program training,workforce development; training; leadership,Not started,Potential direct mission fit
1,City of Austin,City,Travis,https://www.austintexas.gov/financeonline/vendor_connection/,https://financeonline.austintexas.gov/afo/account_services/solicitation/solicitation_search.cfm,Large city government with professional-services procurement,Leadership development; strategic planning; DEI; public safety leadership,leadership; organizational development; training; strategic planning,Not started,High-priority local account
1,Travis County,County,Travis,https://www.traviscountytx.gov/purchasing,https://www.traviscountytx.gov/purchasing/vendor-registration,Large county government and Austin-region growth,Supervisor training; management development; HR consulting,leadership; professional development; supervisor training,Not started,Pair with Austin account tracking
1,City of Dallas,City,Dallas,https://dallascityhall.com/departments/procurementservices/Pages/default.aspx,https://dallascityhall.com/departments/procurementservices/Pages/Vendor-Registration.aspx,Large city with broad departmental needs,Leadership; change management; workforce training,leadership; management training; organizational development,Not started,High volume but likely competitive
1,Dallas County,County,Dallas,https://www.dallascounty.org/departments/purchasing/,https://www.dallascounty.org/departments/purchasing/vendor-registration.php,Large county buyer,Supervisor training; public safety leadership; HR training,leadership; supervisor; conflict resolution,Not started,Watch for county HR/public safety postings
1,City of Fort Worth,City,Tarrant,https://www.fortworthtexas.gov/departments/finance/purchasing,https://www.fortworthtexas.gov/departments/finance/purchasing/vendor-services,Large and growing city,Leadership; management; public safety supervisor training,leadership; supervisor training; professional development,Not started,Good growth-pressure target
1,Tarrant County,County,Tarrant,https://www.tarrantcountytx.gov/en/purchasing.html,https://www.tarrantcountytx.gov/en/purchasing/current-bid-opportunities.html,Large county buyer,Public safety; supervisor; management training,leadership; management training; public safety,Not started,Pair with Fort Worth
1,City of San Antonio,City,Bexar,https://www.sa.gov/Directory/Departments/Finance/About/Divisions/Procurement,https://www.sa.gov/Directory/Departments/Finance/About/Divisions/Procurement/Become-a-Vendor,Large city with major workforce,Leadership; management; training programs,leadership; training; organizational development,Not started,High-priority local account
1,Bexar County,County,Bexar,https://www.bexar.org/581/Purchasing,https://www.bexar.org/2229/Supplier-Portal,Large county buyer,Supervisor training; public safety leadership,leadership; supervisor; workforce development,Not started,Pair with San Antonio
1,City of Houston,City,Harris,https://www.houstontx.gov/obo/,https://purchasing.houstontx.gov/,Largest Texas city; broad procurement needs,Leadership; workforce; HR; public safety leadership,leadership; management; employee engagement,Not started,High volume but complex procurement ecosystem
1,Harris County,County,Harris,https://purchasing.harriscountytx.gov/,https://purchasing.harriscountytx.gov/Pages/SupplierPortal.aspx,Large county buyer,Leadership; HR; public safety; training contracts,leadership; training; human resources,Not started,High-priority local account
1,City of Plano,City,Collin,https://www.plano.gov/280/Purchasing,https://www.plano.gov/280/Purchasing,Affluent/high-capacity local government,Professional development; leadership; strategic planning,leadership; professional development; supervisor training,Not started,Strong municipal target
1,City of Frisco,City,Collin/Denton,https://www.friscotexas.gov/239/Purchasing,https://www.friscotexas.gov/239/Purchasing,Fast growth and professionalized government,Leadership; change management; supervisor training,leadership; change management; management training,Not started,Fast-growth buyer profile
1,Collin County,County,Collin,https://www.collincountytx.gov/Purchasing,https://www.collincountytx.gov/Purchasing/Pages/VendorRegistration.aspx,Fast-growing affluent county,Leadership; supervisor; public safety training,leadership; supervisor; professional development,Not started,Good county target
1,City of Irving,City,Dallas,https://www.cityofirving.org/88/Purchasing,https://www.cityofirving.org/88/Purchasing,Corporate-heavy city with capable administration,Management and leadership training,leadership; professional development; organizational development,Not started,Good metro target
1,City of Denton,City,Denton,https://www.cityofdenton.com/175/Purchasing,https://www.cityofdenton.com/175/Purchasing,Growing city and university-adjacent public sector,Leadership; management; employee engagement,leadership; management training; professional development,Not started,Watch city and university separately
1,Denton County,County,Denton,https://www.dentoncounty.gov/1222/Purchasing,https://www.dentoncounty.gov/1222/Purchasing,Fast-growing county,Supervisor and leadership development,leadership; supervisor training; public safety,Not started,Pair with Denton/Frisco
1,City of Waco,City,McLennan,https://www.waco-texas.com/Departments/Purchasing,https://www.waco-texas.com/Departments/Purchasing,Mid-sized city with university/tourism growth,Leadership; supervisor; city staff development,leadership; management training; professional development,Not started,Good lower-competition target
1,City of Midland,City,Midland,https://www.midlandtexas.gov/180/Purchasing,https://www.midlandtexas.gov/180/Purchasing,Energy-region budget capacity,Leadership; management; workforce development,leadership; supervisor; strategic planning,Not started,Verify active procurement alerts
1,Midland County,County,Midland,https://www.co.midland.tx.us/183/Purchasing,https://www.co.midland.tx.us/183/Purchasing,Energy-region county buyer,Leadership; public safety; employee training,leadership; professional development; public safety,Not started,Pair with City of Midland
1,City of Odessa,City,Ector,https://www.odessa-tx.gov/277/Purchasing,https://www.odessa-tx.gov/277/Purchasing,Energy-region public buyer,Leadership; management; workforce training,leadership; management training; workforce,Not started,Verify active procurement process
1,Ector County,County,Ector,https://www.co.ector.tx.us/page/ector.Purchasing,https://www.co.ector.tx.us/page/ector.Purchasing,Energy-region county buyer,Public safety and county staff training,leadership; supervisor; conflict resolution,Not started,Pair with Odessa
1,Dallas Fort Worth International Airport,Airport authority,Dallas/Tarrant,https://www.dfwairport.com/business/solicitations/,https://www.dfwairport.com/business/supplier_diversity/,Large government-adjacent enterprise buyer,Leadership; customer service; supervisor; organizational development,leadership; management; customer service training,Not started,High-value adjacent target
1,Austin-Bergstrom International Airport,Airport,Travis,https://www.austintexas.gov/department/airport-business,https://www.austintexas.gov/financeonline/vendor_connection/,Large city airport enterprise,Leadership; operations management; customer service training,leadership; management training; customer service,Not started,Usually under City of Austin procurement
1,Houston Airport System,Airport system,Harris,https://www.fly2houston.com/business,https://purchasing.houstontx.gov/,Large airport system,Leadership; operations; customer service; supervisor training,leadership; management; customer service,Not started,Usually tied to Houston procurement
2,San Antonio International Airport,Airport,Bexar,https://flysanantonio.com/business/,https://www.sa.gov/Directory/Departments/Finance/About/Divisions/Procurement/Become-a-Vendor,Airport enterprise buyer,Leadership; operations; customer service training,leadership; supervisor training; customer service,Not started,Usually tied to San Antonio procurement
1,DART - Dallas Area Rapid Transit,Transit authority,Dallas area,https://www.dart.org/about/procurement,https://www.dart.org/about/procurement/vendor-registration,Large regional transit workforce,Supervisor training; safety leadership; conflict resolution,leadership; supervisor; conflict resolution; safety,Not started,Strong training fit
1,CapMetro,Transit authority,Austin area,https://www.capmetro.org/procurement,https://www.capmetro.org/procurement,Regional transit workforce,Leadership; supervisor; customer service; conflict resolution,leadership; customer service; supervisor training,Not started,Good Austin-adjacent account
1,VIA Metropolitan Transit,Transit authority,San Antonio,https://www.viainfo.net/business-center/procurement/,https://www.viainfo.net/business-center/procurement/,Transit workforce and management needs,Leadership; supervisor; customer service training,leadership; management training; customer service,Not started,Good public-sector workforce target
1,Houston METRO,Transit authority,Harris,https://www.ridemetro.org/about/procurement,https://www.ridemetro.org/about/procurement,Large transit workforce,Leadership; supervisor; public-facing conflict training,leadership; supervisor; conflict resolution,Not started,High-volume but competitive
2,North Texas Tollway Authority,Transportation authority,North Texas,https://www.ntta.org/business/procurement,https://www.ntta.org/business/procurement,Regional authority with professional staff,Management; leadership; customer service training,leadership; management; customer service,Not started,Government-adjacent authority
1,University of Texas System,University system,Statewide,https://www.utsystem.edu/offices/business-affairs/supplier-information,https://www.utsystem.edu/offices/business-affairs/supplier-information,Large higher-ed system,Leadership; professional development; executive coaching,leadership development; executive coaching; professional development,Not started,Universities often buy training directly
1,Texas A&M University System,University system,Statewide,https://www.tamus.edu/business/doing-business-with-a-m-system/,https://www.tamus.edu/business/doing-business-with-a-m-system/,Large higher-ed system,Leadership; management development; supervisor training,leadership; professional development; supervisor training,Not started,Watch system and campus bid pages
1,University of Texas at Austin,University,Austin,https://purchasing.utexas.edu/,https://purchasing.utexas.edu/vendors,Large university buyer,Leadership; management; staff training; executive education,leadership; professional development; management training,Not started,Potential buyer and partner channel
1,Texas A&M University,University,College Station,https://purchasing.tamu.edu/,https://purchasing.tamu.edu/suppliers/,Large university buyer,Leadership; supervisor; professional development,leadership; professional development; supervisor training,Not started,Potential buyer and partner channel
1,University of Houston System,University system,Houston,https://www.uh.edu/office-of-finance/purchasing/,https://www.uh.edu/office-of-finance/purchasing/vendor-resources/,Large urban university system,Leadership; management; staff training,leadership; management training; professional development,Not started,Monitor campus procurement
2,Texas Tech University System,University system,Lubbock,https://www.texastech.edu/offices/procurement/,https://www.texastech.edu/offices/procurement/,Large public university system,Leadership; professional development,leadership; professional development; supervisor training,Not started,Secondary Texas higher-ed target
1,Austin ISD,School district,Travis,https://www.austinisd.org/finance/purchasing,https://www.austinisd.org/finance/purchasing,Large school district,Leadership; administrator training; professional development,leadership; professional development; administrator training,Not started,Education buyers may use different procurement cycles
1,Dallas ISD,School district,Dallas,https://www.dallasisd.org/procurement,https://www.dallasisd.org/procurement,Large school district,Leadership; administrator/supervisor training,leadership; professional development; management training,Not started,Large education buyer
1,Houston ISD,School district,Harris,https://www.houstonisd.org/Page/320,https://www.houstonisd.org/Page/320,Large school district,Leadership; administrator; staff development,leadership; professional development; supervisor training,Not started,Large but complex
1,Fort Worth ISD,School district,Tarrant,https://www.fwisd.org/Page/260,https://www.fwisd.org/Page/260,Large school district,Leadership; professional development,leadership; professional development; administrator training,Not started,Education target
1,San Antonio ISD,School district,Bexar,https://www.saisd.net/page/purchasing-home,https://www.saisd.net/page/purchasing-home,Large school district,Leadership; professional development,leadership; professional development; supervisor training,Not started,Education target
2,Alamo Colleges District,Community college district,San Antonio,https://www.alamo.edu/about-us/offices-departments/departments/purchasing/,https://www.alamo.edu/about-us/offices-departments/departments/purchasing/,Large community college district,Leadership; staff development; workforce training,leadership; professional development; workforce,Not started,Good training-aligned buyer
2,Dallas College,Community college district,Dallas,https://www.dallascollege.edu/about/business-industry/pages/supplier.aspx,https://www.dallascollege.edu/about/business-industry/pages/supplier.aspx,Large community college system,Leadership; professional development; workforce training,leadership; workforce development; professional development,Not started,Good training-aligned buyer
2,Austin Community College District,Community college district,Austin,https://www.austincc.edu/offices/purchasing,https://www.austincc.edu/offices/purchasing,Large community college district,Leadership; professional development; workforce training,leadership; workforce development; professional development,Not started,Good training-aligned buyer
2,Lone Star College System,Community college system,Houston area,https://www.lonestar.edu/purchasing.htm,https://www.lonestar.edu/purchasing.htm,Large community college system,Leadership; professional development; workforce training,leadership; workforce development; professional development,Not started,Good training-aligned buyer
2,North Central Texas Council of Governments,Regional council,North Texas,https://www.nctcog.org/agency-administration/purchasing,https://www.nctcog.org/agency-administration/purchasing,Regional public entity and cooperative programs,Leadership; strategic planning; organizational development,leadership; strategic planning; organizational development,Not started,Can reveal regional/member-government needs
2,Capital Area Council of Governments,Regional council,Central Texas,https://www.capcog.org/procurement/,https://www.capcog.org/procurement/,Regional planning/training-adjacent entity,Leadership; planning; public safety training,leadership; public safety; training,Not started,Watch regional training opportunities
2,Houston-Galveston Area Council,Regional council,Houston/Galveston,https://www.h-gac.com/procurement,https://www.h-gac.com/procurement,Large regional council and cooperative purchasing,Leadership; training; strategic planning,leadership; training; organizational development,Not started,Government-adjacent cooperative channel
2,San Antonio River Authority,Special district,Bexar/South Central,https://www.sariverauthority.org/about/business-opportunities/,https://www.sariverauthority.org/about/business-opportunities/,Special district with professional staff,Leadership; management; public engagement training,leadership; management training; communication,Not started,Special districts can be overlooked
2,Lower Colorado River Authority,Utility/river authority,Central Texas,https://www.lcra.org/business-with-lcra/,https://www.lcra.org/business-with-lcra/,Large public utility/authority,Leadership; safety leadership; supervisor training,leadership; safety; supervisor training,Not started,Government-adjacent enterprise target
2,CPS Energy,Public utility,San Antonio,https://www.cpsenergy.com/en/about-us/procurement-and-suppliers.html,https://www.cpsenergy.com/en/about-us/procurement-and-suppliers.html,Large municipally owned utility,Leadership; safety; management training,leadership; safety leadership; management training,Not started,Utility workforce training fit
2,Austin Energy,Public utility,Austin,https://austinenergy.com/about/company-profile/vendor-information,https://www.austintexas.gov/financeonline/vendor_connection/,Large public utility,Leadership; safety; supervisor training,leadership; safety; management training,Not started,Usually city procurement path
2,San Antonio Water System,Public utility,San Antonio,https://www.saws.org/business-center/purchasing/,https://www.saws.org/business-center/purchasing/,Large public water utility,Leadership; supervisor; safety training,leadership; supervisor training; safety,Not started,Utility target
2,North Texas Municipal Water District,Utility district,North Texas,https://www.ntmwd.com/business-opportunities/,https://www.ntmwd.com/business-opportunities/,Large regional utility district,Leadership; management; safety training,leadership; supervisor training; safety,Not started,Special-purpose district target
2,City of Sugar Land,City,Fort Bend,https://www.sugarlandtx.gov/449/Purchasing,https://www.sugarlandtx.gov/449/Purchasing,Affluent Houston-area city,Leadership; strategic planning; professional development,leadership; professional development; strategic planning,Not started,Good municipal target
2,City of The Woodlands Township,Township,Montgomery,https://www.thewoodlandstownship-tx.gov/bids.aspx,https://www.thewoodlandstownship-tx.gov/bids.aspx,Affluent special local government,Leadership; management; strategic planning,leadership; management training; strategic planning,Not started,Often overlooked due to township structure
2,City of Round Rock,City,Williamson,https://www.roundrocktexas.gov/city-departments/purchasing/,https://www.roundrocktexas.gov/city-departments/purchasing/,Fast-growing Austin-area city,Leadership; management; change management,leadership; supervisor training; professional development,Not started,Good growth-pressure target
2,Williamson County,County,Williamson,https://www.wilcotx.gov/434/Purchasing,https://www.wilcotx.gov/434/Purchasing,Fast-growing Austin-area county,Leadership; public safety; supervisor training,leadership; supervisor; public safety,Not started,Pair with Round Rock/Georgetown
2,City of Georgetown,City,Williamson,https://purchasing.georgetown.org/,https://purchasing.georgetown.org/,Fast-growing city,Leadership; management; professional development,leadership; management training; professional development,Not started,Good growth-pressure target
2,City of McKinney,City,Collin,https://www.mckinneytexas.org/601/Purchasing,https://www.mckinneytexas.org/601/Purchasing,Fast-growing affluent city,Leadership; management; professional development,leadership; supervisor training; professional development,Not started,North Texas growth target
2,City of Allen,City,Collin,https://www.cityofallen.org/997/Purchasing,https://www.cityofallen.org/997/Purchasing,Affluent North Texas city,Leadership; supervisor training; professional development,leadership; management training; professional development,Not started,North Texas municipal target
2,City of Grapevine,City,Tarrant,https://www.grapevinetexas.gov/105/Purchasing,https://www.grapevinetexas.gov/105/Purchasing,Tourism/airport-adjacent city,Leadership; customer service; management training,leadership; customer service; management training,Not started,Budget density may be stronger than population suggests
2,City of Addison,Town,Dallas,https://addisontexas.net/finance/purchasing,https://addisontexas.net/finance/purchasing,Small but business-heavy municipality,Leadership; management; customer service training,leadership; professional development; customer service,Not started,Good revenue-per-capita style target to verify
2,City of Galveston,City,Galveston,https://www.galvestontx.gov/103/Purchasing,https://www.galvestontx.gov/103/Purchasing,Tourism/coastal city with complex operations,Leadership; customer service; emergency management leadership,leadership; customer service; public safety,Not started,Tourism-heavy target
2,Port of Houston Authority,Port authority,Harris,https://porthouston.com/procurement/,https://porthouston.com/procurement/,Large government-adjacent enterprise,Leadership; safety; operations management,leadership; safety leadership; supervisor training,Not started,High-value adjacent target
